# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Thu, 25 Aug 2022 03:07:05 +0200
#
# IP	number of (black)lists
#
144.172.73.16	9
89.234.157.254	8
95.214.24.192	8
171.25.193.78	8
144.172.73.66	8
179.60.147.161	8
103.251.167.21	8
64.113.32.29	8
80.82.77.33	7
162.247.74.202	7
171.25.193.77	7
185.220.100.255	7
185.220.100.254	7
165.227.211.85	7
162.241.70.133	7
192.42.116.16	7
171.251.31.142	7
159.89.44.77	7
199.195.254.191	7
80.67.172.162	7
45.139.122.241	7
185.129.62.62	7
158.69.63.54	7
46.249.32.161	6
161.35.131.133	6
109.206.241.13	6
109.206.241.17	6
159.223.174.169	6
162.247.74.204	6
71.6.199.23	6
205.185.115.33	6
91.240.118.222	6
61.177.173.51	6
45.13.227.122	6
162.247.74.74	6
141.255.162.226	6
45.61.186.169	6
185.220.101.4	6
185.220.101.1	6
185.220.101.40	6
80.82.77.139	6
68.183.141.33	6
68.183.141.36	6
144.217.86.109	6
178.20.55.18	6
178.20.55.16	6
130.149.80.199	6
137.184.71.173	6
209.141.54.195	6
185.220.100.253	6
103.251.167.20	6
198.96.155.3	6
83.137.158.6	6
61.177.172.61	6
166.70.207.2	6
185.220.102.8	6
185.130.44.108	6
79.110.62.48	6
185.220.101.131	6
162.247.74.27	6
107.152.217.4	6
162.247.74.213	6
68.183.25.187	6
61.177.173.48	6
198.98.61.9	6
193.142.147.10	6
45.61.186.49	6
79.110.62.47	6
143.110.153.150	6
185.220.102.252	6
144.172.73.34	6
68.183.141.28	6
61.177.172.124	6
62.102.148.69	6
190.144.14.170	6
179.43.140.150	6
185.220.102.248	6
159.223.172.195	6
5.255.99.205	6
185.220.100.249	6
185.220.101.12	6
185.165.190.34	6
167.99.229.117	6
192.42.116.24	6
109.227.63.3	6
144.172.118.76	6
157.245.9.6	6
185.142.236.35	6
61.177.173.35	6
208.67.104.124	5
185.225.73.18	5
104.244.74.57	5
115.84.112.138	5
162.247.74.201	5
162.247.74.200	5
199.195.249.253	5
128.201.78.253	5
137.184.105.86	5
159.89.236.71	5
190.216.236.62	5
109.70.100.25	5
109.70.100.26	5
109.70.100.21	5
109.70.100.20	5
109.70.100.23	5
46.23.109.195	5
192.241.219.54	5
196.20.68.81	5
179.27.60.34	5
164.92.129.174	5
93.61.137.226	5
195.176.3.24	5
61.177.173.50	5
61.177.173.53	5
61.177.173.52	5
134.209.198.12	5
185.36.81.95	5
68.183.188.159	5
128.199.184.157	5
45.95.169.255	5
185.220.102.244	5
185.220.102.240	5
185.220.102.243	5
67.243.72.138	5
66.70.176.28	5
195.29.51.136	5
61.177.172.104	5
37.139.129.72	5
104.244.76.170	5
159.223.164.107	5
182.75.139.26	5
185.195.71.3	5
141.98.9.47	5
82.200.65.218	5
185.107.47.171	5
185.220.101.8	5
185.220.101.7	5
185.220.101.3	5
61.177.172.114	5
164.90.194.36	5
138.197.97.211	5
185.220.101.188	5
185.220.101.186	5
92.255.85.69	5
185.129.61.129	5
190.221.46.78	5
139.59.7.177	5
